CRASH_YEAR,CRASH_MONTH,BEAT_OF_OCCURRENCE,avg_age,avg_speed_limit,total_crashes,sum_injuries_total,sum_injuries_fatal,sum_injuries_incapacitating,sum_injuries_non_incapacitating,sum_injuries_reported_not_evident,sum_weather_category_clear,sum_weather_category_cloudy,sum_weather_category_rain,sum_weather_category_extreme,sum_weather_category_unknown,sum_lighting_category_daylight,sum_lighting_category_daylight.1,sum_lighting_category_night,sum_lighting_category_night.1,sum_lighting_category_unknown,sum_lighting_category_unknown.1,sum_roadway_surface_category_dry,sum_roadway_surface_category_wet,sum_roadway_surface_category_snow,sum_roadway_surface_category_ice,sum_roadway_surface_category_unknown,sum_road_defect_category_no_defects,sum_road_defect_category_bad,sum_road_defect_category_defect,sum_road_defect_category_debris,sum_road_defect_category_unknown,sum_damage_category_high,sum_damage_category_low,sum_damage_category_medium,sum_gender_unknown,sum_gender_female,sum_gender_male,sum_category_motorcycle,sum_category_off-road/specialized,sum_category_passenger vehicle,sum_category_public transport,sum_category_truck/commercial
2017,1,432.0,45.55555555555555,30.833333333333332,6,0.0,0.0,0.0,0.0,0.0,6,0,0,0,0,3,3,3,3,0,0,6,0,0,0,0,3,2,0,0,1,3,2,1,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0
2017,1,433.0,33.625,30.0,8,1.0,0.0,0.0,1.0,0.0,6,0,1,0,1,2,2,6,6,0,0,6,2,0,0,0,6,0,0,0,2,6,0,2,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0
2017,1,434.0,44.857142857142854,27.857142857142858,7,0.0,0.0,0.0,0.0,0.0,7,0,0,0,0,3,3,4,4,0,0,5,1,0,1,0,3,2,0,0,2,3,2,2,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0
2017,1,511.0,42.11363636363637,28.40909090909091,22,4.0,0.0,0.0,1.0,3.0,16,0,5,1,0,13,13,9,9,0,0,11,5,0,5,1,16,0,1,0,5,13,2,7,0.0,0.0,0.0,0.0,0.0,38.0,0.0,2.0
2017,1,512.0,49.25,25.833333333333332,6,0.0,0.0,0.0,0.0,0.0,4,1,1,0,0,3,3,3,3,0,0,5,1,0,0,0,5,0,0,0,1,2,1,3,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
2017,1,513.0,43.416666666666664,30.0,6,0.0,0.0,0.0,0.0,0.0,4,1,1,0,0,4,4,2,2,0,0,3,3,0,0,0,3,0,0,0,3,3,0,3,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0
2017,1,522.0,47.0,30.0,3,0.0,0.0,0.0,0.0,0.0,2,0,1,0,0,2,2,1,1,0,0,1,1,0,1,0,1,0,0,0,2,1,0,2,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0
2017,1,523.0,46.2,28.0,5,1.0,0.0,0.0,0.0,1.0,3,0,0,0,2,2,2,2,2,1,1,3,0,0,1,1,3,0,0,0,2,2,0,3,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
2017,1,524.0,40.388888888888886,27.22222222222222,9,3.0,0.0,0.0,0.0,3.0,8,0,1,0,0,5,5,4,4,0,0,6,1,0,2,0,8,0,0,0,1,5,0,4,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0
2017,1,531.0,39.05555555555556,27.22222222222222,9,1.0,0.0,1.0,0.0,0.0,8,0,1,0,0,7,7,2,2,0,0,8,1,0,0,0,5,2,0,0,2,6,1,2,0.0,0.0,0.0,0.0,0.0,13.0,0.0,2.0
2017,1,532.0,36.416666666666664,28.333333333333332,6,0.0,0.0,0.0,0.0,0.0,6,0,0,0,0,3,3,3,3,0,0,5,0,0,0,1,5,1,0,0,0,1,2,3,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0
2017,1,533.0,32.9,27.0,5,1.0,0.0,0.0,0.0,1.0,5,0,0,0,0,5,5,0,0,0,0,3,0,0,1,1,2,1,0,1,1,3,0,2,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0
2017,1,611.0,49.916666666666664,30.0,6,3.0,0.0,0.0,0.0,3.0,5,0,1,0,0,4,4,2,2,0,0,4,1,0,0,1,4,0,0,0,2,2,1,3,0.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0
2017,1,612.0,37.875,25.625,8,0.0,0.0,0.0,0.0,0.0,6,0,0,0,2,4,4,4,4,0,0,6,0,0,1,1,6,0,0,0,2,5,0,3,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0
2017,1,613.0,47.333333333333336,30.0,3,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,2,0,0,1,0,3,0,0,0,0,3,0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
2017,1,614.0,39.642857142857146,27.142857142857142,7,0.0,0.0,0.0,0.0,0.0,6,0,1,0,0,6,6,1,1,0,0,3,3,0,0,1,3,0,0,0,4,3,0,4,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0
2017,1,621.0,48.06666666666667,30.0,15,1.0,0.0,0.0,0.0,1.0,9,0,2,4,0,7,7,8,8,0,0,7,4,2,1,1,13,0,0,0,2,5,4,6,0.0,0.0,0.0,0.0,0.0,24.0,0.0,1.0
2017,1,622.0,48.20454545454545,27.272727272727273,22,0.0,0.0,0.0,0.0,0.0,14,2,3,1,2,13,13,8,8,1,1,14,5,0,2,1,16,0,0,0,6,12,3,7,0.0,0.0,0.0,0.0,0.0,36.0,0.0,1.0
2017,1,623.0,45.94230769230769,27.692307692307693,26,1.0,0.0,0.0,0.0,1.0,18,3,4,0,1,14,14,12,12,0,0,17,3,1,4,1,23,0,0,0,3,15,4,7,0.0,0.0,0.0,0.0,0.0,43.0,2.0,0.0
2017,1,624.0,46.4,30.0,5,0.0,0.0,0.0,0.0,0.0,4,0,0,1,0,2,2,3,3,0,0,3,0,0,1,1,3,0,0,0,2,2,3,0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0
2017,1,631.0,35.125,26.25,4,1.0,0.0,0.0,1.0,0.0,2,0,0,2,0,2,2,2,2,0,0,3,0,0,1,0,3,0,0,0,1,4,0,0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0
2017,1,632.0,36.095238095238095,25.714285714285715,21,2.0,0.0,0.0,0.0,2.0,17,0,3,1,0,13,13,8,8,0,0,16,3,1,0,1,16,0,0,0,5,10,5,6,0.0,0.0,0.0,0.0,0.0,38.0,0.0,1.0
2017,1,633.0,39.57142857142857,30.714285714285715,7,0.0,0.0,0.0,0.0,0.0,6,1,0,0,0,5,5,2,2,0,0,6,0,0,1,0,6,0,0,0,1,5,0,2,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
2017,1,634.0,41.35185185185185,23.88888888888889,9,0.0,0.0,0.0,0.0,0.0,4,0,3,0,2,3,3,6,6,0,0,4,3,0,0,2,7,0,0,0,2,4,0,5,0.0,0.0,0.0,0.0,0.0,16.0,0.0,1.0
2017,1,711.0,34.23684210526316,29.736842105263158,19,3.0,0.0,0.0,0.0,3.0,12,1,6,0,0,7,7,12,12,0,0,10,8,0,0,1,15,0,0,0,4,10,3,6,0.0,0.0,0.0,0.0,0.0,29.0,0.0,2.0
2017,1,712.0,28.291666666666668,29.375,8,3.0,0.0,1.0,2.0,0.0,6,0,2,0,0,4,4,4,4,0,0,4,2,1,0,1,6,0,0,0,2,7,0,1,0.0,0.0,0.0,0.0,0.0,12.0,0.0,2.0
2017,1,713.0,41.666666666666664,28.88888888888889,9,1.0,0.0,0.0,1.0,0.0,6,0,3,0,0,3,3,6,6,0,0,6,3,0,0,0,9,0,0,0,0,3,2,4,0.0,0.0,0.0,0.0,0.0,16.0,0.0,1.0
2017,1,714.0,39.42857142857143,29.285714285714285,7,4.0,0.0,0.0,1.0,3.0,5,0,1,1,0,2,2,5,5,0,0,4,3,0,0,0,6,0,0,0,1,4,1,2,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0
2017,1,715.0,30.9375,29.375,8,1.0,0.0,1.0,0.0,0.0,6,0,2,0,0,4,4,4,4,0,0,5,3,0,0,0,8,0,0,0,0,4,1,3,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0
2017,1,722.0,35.833333333333336,28.333333333333332,9,1.0,0.0,0.0,0.0,1.0,6,0,2,1,0,3,3,6,6,0,0,4,1,0,1,3,6,0,0,0,3,3,3,3,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0
2017,1,723.0,41.06666666666667,29.333333333333332,15,1.0,0.0,0.0,1.0,0.0,9,0,3,2,1,8,8,7,7,0,0,9,4,0,1,1,11,1,0,0,3,8,4,3,0.0,0.0,0.0,0.0,0.0,23.0,1.0,0.0
2017,1,724.0,39.27272727272727,29.09090909090909,11,3.0,0.0,0.0,0.0,3.0,8,0,2,0,1,5,5,6,6,0,0,8,2,0,0,1,10,0,0,0,1,6,2,3,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0
2017,1,725.0,40.31818181818182,30.454545454545453,11,3.0,0.0,0.0,3.0,0.0,7,0,1,2,1,6,6,5,5,0,0,6,2,1,2,0,10,1,0,0,0,9,2,0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0
2017,1,726.0,40.166666666666664,25.833333333333332,6,4.0,0.0,1.0,3.0,0.0,3,1,2,0,0,4,4,2,2,0,0,4,2,0,0,0,5,0,0,1,0,5,1,0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0
2017,1,731.0,42.166666666666664,30.333333333333332,15,4.0,0.0,0.0,4.0,0.0,10,0,2,3,0,5,5,10,10,0,0,8,3,2,1,1,9,0,1,0,5,10,2,3,0.0,0.0,0.0,0.0,0.0,25.0,1.0,0.0
2017,1,732.0,49.583333333333336,30.833333333333332,6,4.0,0.0,0.0,1.0,3.0,4,1,1,0,0,4,4,2,2,0,0,4,2,0,0,0,6,0,0,0,0,5,0,1,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0
