score,min_samples,eps,n_clusters
0.31372183880464766,38,0.14999999999999997,1
0.3126291998886311,39,0.14999999999999997,1
0.31232796642871224,24,0.13999999999999999,1
0.310438784828623,25,0.13999999999999999,1
0.3091344519535274,26,0.13999999999999999,1
0.3090452729829487,16,0.13,1
0.3078766322442166,27,0.13999999999999999,1
0.30690538759898417,28,0.13999999999999999,1
0.3067856597329144,17,0.13,1
0.30539150113947866,29,0.13999999999999999,1
0.30495384591303576,18,0.13,1
0.30417430884927427,30,0.13999999999999999,1
0.30308996148659667,19,0.13,1
0.3029509549556284,31,0.13999999999999999,1
0.30155888601384606,32,0.13999999999999999,1
0.30125418982378066,20,0.13,1
0.30078099851847734,33,0.13999999999999999,1
0.29988111877730583,34,0.13999999999999999,1
0.29977732710992294,21,0.13,1
0.29924120142605537,35,0.13999999999999999,1
0.29806738816549116,36,0.13999999999999999,1
0.2979654105782856,22,0.13,1
0.29731772357581393,13,0.12,1
0.29664615270618333,37,0.13999999999999999,1
0.2954406348756578,38,0.13999999999999999,1
0.2947976649530602,14,0.12,1
0.294220569333293,39,0.13999999999999999,1
0.2931039050610768,25,0.13,1
0.2912714406056165,26,0.13,1
0.2891813966758365,27,0.13,1
0.28735136223747776,28,0.13,1
0.2863487997016876,17,0.12,1
0.2860482034439973,29,0.13,1
0.28428716025591694,30,0.13,1
0.2834845657336448,18,0.12,1
0.2829397588628748,31,0.13,1
0.28124312260634593,32,0.13,1
0.28106853890858946,19,0.12,1
0.27972964853153026,33,0.13,1
0.27803163950845555,20,0.12,1
0.2776937662763549,34,0.13,1
0.27746933543768093,6,0.15999999999999998,2
0.27612129438110933,35,0.13,1
0.275662020564103,21,0.12,1
0.2743502128587089,36,0.13,1
0.2737027560460025,22,0.12,1
0.27307949300718637,37,0.13,1
0.27234925835257057,23,0.12,1
0.2713206556992288,38,0.13,1
0.2708011107815741,15,0.13,2
0.2700672160846264,24,0.12,1
0.26964079890160386,39,0.13,1
0.2668359614532761,25,0.12,1
0.26545361119617783,8,0.16999999999999998,2
0.2653113715106224,9,0.16999999999999998,2
0.26478561295125413,26,0.12,1
0.26218759445013073,27,0.12,1
0.26003072051697124,28,0.12,1
0.2575325230586537,29,0.12,1
0.2549313957221636,30,0.12,1
0.2541633006693592,5,0.15999999999999998,4
0.2530626450724963,31,0.12,1
0.2518740510686018,19,0.11,1
0.25083164396901747,32,0.12,1
0.2485994464209471,33,0.12,1
0.24849769369317584,5,0.17999999999999997,4
0.24797121050452706,11,0.12,3
0.24640791844876844,34,0.12,1
0.2446677198137232,35,0.12,1
0.24353267179517843,21,0.11,1
0.24310535654074342,36,0.12,1
0.2414011407578593,37,0.12,1
0.23999759343212618,22,0.11,1
0.23966621918133,38,0.12,1
0.23755077671123234,39,0.12,1
0.2371117213769436,23,0.11,1
0.23438156164766197,24,0.11,1
0.2317435928576572,23,0.13,2
0.23089088210823167,24,0.13,2
0.22918538432045787,26,0.11,1
0.22779056543796833,15,0.1,1
0.2257024738795165,27,0.11,1
0.22529977399777423,17,0.16999999999999998,2
0.22385965615277653,9,0.14999999999999997,2
0.22359883343193987,33,0.18999999999999995,2
0.22346810862249905,28,0.11,1
0.22324475420288498,32,0.17999999999999997,2
0.2231887327366912,26,0.17999999999999997,2
0.2227318600492623,25,0.17999999999999997,2
0.22241817714729678,16,0.1,1
0.22233819792581488,18,0.16999999999999998,2
0.22232970238968822,35,0.18999999999999995,2
0.22206612829775416,36,0.18999999999999995,2
0.22177923903995805,39,0.18999999999999995,2
0.2217638631835332,34,0.18999999999999995,2
0.22075000029279546,29,0.11,1
0.22062146713145084,38,0.18999999999999995,2
0.22016563074247528,37,0.18999999999999995,2
0.21933930525084636,27,0.17999999999999997,2
0.2180755005672004,30,0.11,1
0.21773374277422497,17,0.1,1
0.21597172636854794,28,0.17999999999999997,2
0.2158418753638105,31,0.17999999999999997,2
0.2158317995759809,30,0.17999999999999997,2
0.21552394787907433,29,0.17999999999999997,2
0.21487114059016646,31,0.11,1
0.21448948263656706,19,0.16999999999999998,2
0.213110655083984,18,0.1,1
0.21202007449587312,32,0.11,1
0.21119580492729184,20,0.16999999999999998,2
0.20959133129773874,33,0.11,1
0.2092983232572688,22,0.16999999999999998,2
0.2085448663144837,13,0.15999999999999998,2
0.20819400426990484,19,0.1,1
0.20731773213317947,34,0.11,1
0.20677330512351838,21,0.16999999999999998,2
0.20447767356490917,35,0.11,1
0.20433479360255444,20,0.1,1
0.20311602373300036,14,0.15999999999999998,2
0.2014249750023044,36,0.11,1
0.1997847210572969,21,0.1,1
0.1986455987283319,37,0.11,1
0.19773682250372693,15,0.11,2
0.1960881923729749,38,0.11,1
0.1958591458650736,22,0.1,1
0.19344018478973102,39,0.11,1
0.19204911847234024,23,0.1,1
0.19009757307167255,15,0.12,2
0.19005064963741927,10,0.14999999999999997,3
0.18911606839653858,24,0.1,1
0.1887482584027492,16,0.11,2
0.18545278487416766,25,0.1,1
0.18413950202909307,12,0.15999999999999998,3
0.18221944195010553,18,0.11,2
0.1813577732181664,26,0.1,1
0.17788238951582686,12,0.11,2
