CRASH_YEAR,CRASH_MONTH,BEAT_OF_OCCURRENCE,avg_age,avg_speed_limit,total_crashes,sum_injuries_total,sum_injuries_fatal,sum_injuries_incapacitating,sum_injuries_non_incapacitating,sum_injuries_reported_not_evident,sum_weather_category_clear,sum_weather_category_cloudy,sum_weather_category_rain,sum_weather_category_extreme,sum_weather_category_unknown,sum_lighting_category_daylight,sum_lighting_category_night,sum_lighting_category_unknown,sum_roadway_surface_category_dry,sum_roadway_surface_category_wet,sum_roadway_surface_category_snow,sum_roadway_surface_category_ice,sum_roadway_surface_category_unknown,sum_road_defect_category_no_defects,sum_road_defect_category_bad,sum_road_defect_category_defect,sum_road_defect_category_debris,sum_road_defect_category_unknown,sum_damage_category_high,sum_damage_category_low,sum_damage_category_medium,sum_gender_unknown,sum_gender_female,sum_gender_male,sum_category_motorcycle,sum_category_off-road/specialized,sum_category_passenger vehicle,sum_category_public transport,sum_category_truck/commercial
2017,1,314.0,39.3125,21.5,10,2.0,0.0,0.0,2.0,0.0,5,0,2,1,2,6,4,0,4,2,0,2,2,8,0,0,1,1,2,2,6,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0
2017,1,321.0,41.26136363636363,27.166666666666668,30,4.0,0.0,0.0,0.0,4.0,21,0,3,2,4,12,17,1,12,7,1,5,5,21,1,0,1,7,19,4,7,0.0,0.0,0.0,1.0,0.0,45.0,1.0,0.0
2017,1,322.0,30.2,29.285714285714285,14,5.0,0.0,1.0,0.0,4.0,10,0,3,0,1,5,9,0,8,4,0,2,0,13,1,0,0,0,5,2,7,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
2017,1,323.0,43.80701754385965,27.115384615384617,26,3.0,0.0,0.0,2.0,1.0,20,1,4,1,0,15,11,0,16,7,1,2,0,23,1,0,1,1,15,4,7,0.0,0.0,0.0,0.0,0.0,39.0,0.0,2.0
2017,1,324.0,43.964285714285715,24.75,20,3.0,1.0,0.0,2.0,0.0,16,2,2,0,0,10,10,0,17,2,0,0,1,16,0,0,0,4,15,1,4,0.0,0.0,0.0,0.0,0.0,24.0,0.0,1.0
2017,1,331.0,47.75925925925926,30.394736842105264,38,2.0,0.0,0.0,0.0,2.0,29,0,6,3,0,16,22,0,24,10,1,1,2,36,0,0,0,2,24,1,13,0.0,0.0,0.0,1.0,0.0,57.0,0.0,0.0
2017,1,332.0,42.088235294117645,26.05263157894737,19,2.0,0.0,0.0,2.0,0.0,13,0,3,3,0,9,10,0,11,6,1,1,0,18,0,0,0,1,9,2,8,0.0,0.0,0.0,0.0,0.0,28.0,2.0,0.0
2017,1,333.0,37.0,26.0,10,2.0,0.0,0.0,0.0,2.0,6,1,2,0,1,4,5,1,6,2,0,1,1,7,0,0,0,3,9,0,1,0.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0
2017,1,334.0,37.15384615384615,29.72222222222222,18,5.0,0.0,2.0,0.0,3.0,12,1,0,4,1,11,7,0,12,4,0,1,1,18,0,0,0,0,13,1,4,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0
2017,1,411.0,50.18181818181818,29.642857142857142,14,0.0,0.0,0.0,0.0,0.0,10,0,3,0,1,5,8,1,9,4,0,0,1,9,2,0,1,2,8,2,4,0.0,0.0,0.0,0.0,0.0,17.0,2.0,1.0
2017,1,412.0,49.7037037037037,26.470588235294116,34,2.0,0.0,0.0,1.0,1.0,24,1,4,3,2,21,12,1,25,4,1,2,2,28,0,0,0,6,20,2,12,0.0,0.0,0.0,1.0,0.0,46.0,0.0,1.0
2017,1,413.0,40.0,26.875,16,1.0,0.0,0.0,0.0,1.0,15,0,1,0,0,10,6,0,12,2,1,0,1,15,0,0,0,1,10,1,5,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0
