Features,K,Score
"('avg_lighting_severity', 'combined_weather_road_severity', 'fatality_rate', 'speeding_influence', 'damage_cost_LB', 'pct_neo_patented_drivers')",5,0.18991639384703057
"('avg_age', 'avg_crash_severity_score', 'combined_weather_road_severity', 'fatality_rate', 'damage_cost_LB', 'weekend_crash_rate')",7,0.18990004810374625
"('avg_age', 'avg_crash_severity_score', 'combined_weather_road_severity', 'fatality_rate', 'damage_cost_LB', 'weekend_crash_rate')",6,0.1896897776300667
"('avg_age', 'combined_weather_road_severity', 'fatality_rate', 'speeding_influence', 'damage_cost_LB', 'pct_neo_patented_drivers')",7,0.18962721855808906
"('avg_age', 'avg_lighting_severity', 'combined_weather_road_severity', 'fatality_rate', 'speeding_influence', 'damage_cost_LB')",7,0.18911610965856895
"('avg_lighting_severity', 'combined_weather_road_severity', 'fatality_rate', 'damage_cost_LB', 'weekend_crash_rate', 'pct_neo_patented_drivers')",6,0.18897721458360292
"('avg_age', 'avg_crash_severity_score', 'avg_lighting_severity', 'combined_weather_road_severity', 'fatality_rate', 'damage_cost_LB')",6,0.18890434621494143
"('avg_age', 'combined_weather_road_severity', 'fatality_rate', 'speeding_influence', 'damage_cost_LB', 'pct_neo_patented_drivers')",8,0.18877366220582548
"('avg_age', 'fatality_rate', 'speeding_influence', 'damage_cost_LB', 'weekend_crash_rate', 'pct_neo_patented_drivers')",6,0.18875131378512744
"('avg_age', 'avg_crash_severity_score', 'combined_weather_road_severity', 'fatality_rate', 'speeding_influence', 'damage_cost_LB')",6,0.1886985439191657
"('avg_crash_severity_score', 'combined_weather_road_severity', 'fatality_rate', 'speeding_influence', 'damage_cost_LB', 'weekend_crash_rate')",6,0.18860612053218775
"('avg_age', 'combined_weather_road_severity', 'fatality_rate', 'speeding_influence', 'damage_cost_LB', 'pct_neo_patented_drivers')",5,0.18847228468106506
"('avg_crash_severity_score', 'fatality_rate', 'speeding_influence', 'damage_cost_LB', 'weekend_crash_rate', 'pct_neo_patented_drivers')",7,0.18791014391732677
"('avg_age', 'avg_crash_severity_score', 'combined_weather_road_severity', 'fatality_rate', 'speeding_influence', 'damage_cost_LB')",5,0.1876178091109124
"('avg_lighting_severity', 'combined_weather_road_severity', 'fatality_rate', 'damage_cost_LB', 'weekend_crash_rate', 'pct_neo_patented_drivers')",7,0.18757052683314615
"('avg_crash_severity_score', 'avg_lighting_severity', 'combined_weather_road_severity', 'fatality_rate', 'speeding_influence', 'pct_neo_patented_drivers')",3,0.187477113366838
"('avg_age', 'avg_crash_severity_score', 'combined_weather_road_severity', 'fatality_rate', 'speeding_influence', 'pct_neo_patented_drivers')",5,0.18746264689091147
"('avg_age', 'avg_lighting_severity', 'combined_weather_road_severity', 'fatality_rate', 'damage_cost_LB', 'pct_neo_patented_drivers')",2,0.18727405581721981
"('avg_lighting_severity', 'combined_weather_road_severity', 'fatality_rate', 'speeding_influence', 'damage_cost_LB', 'pct_neo_patented_drivers')",6,0.18724377398216369
"('avg_age', 'combined_weather_road_severity', 'fatality_rate', 'speeding_influence', 'weekend_crash_rate', 'pct_neo_patented_drivers')",5,0.18716554756868276
"('avg_crash_severity_score', 'avg_lighting_severity', 'combined_weather_road_severity', 'fatality_rate', 'speeding_influence', 'weekend_crash_rate')",6,0.18686926291181194
"('avg_age', 'avg_crash_severity_score', 'avg_lighting_severity', 'combined_weather_road_severity', 'fatality_rate', 'speeding_influence')",5,0.18684267186825051
